id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,review_scores_value,calculated_host_listings_count
17891,Large Light Filled Loft,69063,Candace,,,1,Central & Western,22.28327,114.14988,Entire home/apt,3,1400,60,73,2017/11/29,0.48,0,4.66,1
72571,SoHo off Hollywood Road 3A,304876,Brend,within a few hours,1,0.96,Central & Western,22.28463,114.15054,Entire home/apt,2,573,2,151,2022/3/11,1.07,168,4.13,10
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,within a few hours,1,0.96,Central & Western,22.28418,114.15431,Entire home/apt,6,855,3,284,2022/9/8,2.07,265,4.39,10
104626,Entire Flat - Next to Man Mo Temple,544166,Celine,a few days or more,0.13,1,Central & Western,22.2836,114.1479,Entire home/apt,2,2194,1,14,2012/2/6,0.1,365,4.71,1
132773,Fabulous 2 Bdrm Aprt Open kitchen,304876,Brend,within a few hours,1,0.96,Central & Western,22.28921,114.14325,Entire home/apt,6,1012,2,216,2022/9/12,1.59,338,4.37,10
163664,Soho off Hollywood Road P4,304876,Brend,within a few hours,1,0.96,Central & Western,22.28494,114.14901,Entire home/apt,6,620,2,225,2021/2/16,1.67,0,4.31,10
163742,Soho off Hollywood Road P3,304876,Brend,within a few hours,1,0.96,Central & Western,22.28657,114.14889,Entire home/apt,6,777,2,234,2021/8/30,1.73,168,4.31,10
248140,Bright Studio - Soho - Central HK,1300549,Darren,within an hour,1,0.79,Central & Western,22.28228,114.14923,Entire home/apt,2,750,1,170,2022/9/12,1.28,172,4.77,1
263081,"3 ??????, 2500 ????????? ????????? Family Friendly! ??????????????? ??????",1370155,Chuster,within a day,1,0,Central & Western,22.27723,114.15083,Private room,8,4541,4,0,,,353,,1
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,within a few hours,1,1,Wan Chai,22.27924,114.16995,Entire home/apt,4,824,14,247,2022/9/5,1.89,304,4.63,1
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,within a day,0.57,0.35,Yuen Long,22.46592,113.98207,Entire home/apt,6,964,4,40,2022/3/9,0.32,365,4.29,2
306515,"HongKong,Central Bright Double Room",1576511,Frederic,a few days or more,0,,Central & Western,22.28376,114.15313,Entire home/apt,2,940,30,20,2015/8/14,0.15,365,4.8,1
463214,Awesome flat in Sai Ying Pun with Harbour view!!,2296168,Arnaud,within a day,1,0.49,Central & Western,22.28537,114.14238,Entire home/apt,3,1176,3,21,2020/1/4,0.17,244,4.26,1
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,within a few hours,1,1,Central & Western,22.28543,114.1489,Entire home/apt,4,850,1,241,2022/8/29,1.93,333,4.56,1
562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,2767794,Check Inn HK,within an hour,0.98,1,Wan Chai,22.27825,114.17699,Shared room,8,216,1,113,2019/11/10,0.94,365,4.46,43
562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,2767794,Check Inn HK,within an hour,0.98,1,Wan Chai,22.27825,114.17699,Shared room,8,216,1,25,2019/6/14,0.3,365,4.6,43
562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,2767794,Check Inn HK,within an hour,0.98,1,Wan Chai,22.27825,114.17699,Shared room,8,216,1,164,2022/8/30,1.33,365,4.53,43
562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,2767794,Check Inn HK,within an hour,0.98,1,Wan Chai,22.27825,114.17699,Shared room,8,216,1,28,2019/5/8,0.23,365,4.36,43
578652,Modern family-friendly suite in fishing village,2846701,Veronica,within an hour,1,1,Islands,22.25382,113.86251,Hotel room,5,1917,1,14,2022/4/17,0.16,79,4.43,3
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,within an hour,1,1,Islands,22.25552,113.86369,Hotel room,3,1338,1,40,2022/8/7,0.39,80,4.18,3
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,within an hour,1,1,Islands,22.25575,113.86351,Hotel room,3,933,1,28,2022/8/1,0.26,84,4.54,3
603232,DISCOVERY BAY - 3 Bedroom apartment,2986287,Tish,within an hour,1,1,Islands,22.29313,114.01591,Entire home/apt,5,1271,3,36,2022/9/4,0.34,0,4.56,1
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,,,Wan Chai,22.276,114.1736,Entire home/apt,10,1000,1125,19,2013/8/31,0.16,0,4.5,1
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,within an hour,1,0.63,Yau Tsim Mong,22.32532,114.16433,Hotel room,1,259,1,147,2020/1/27,1.21,78,4.66,6
646645,Creative Residence. Private Room,634820,Wontonmeen,within an hour,1,0.63,Yau Tsim Mong,22.32532,114.16433,Private room,2,280,3,37,2020/1/9,0.3,0,4.68,6
